"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: initialCapacity","Param: loadFactor"
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,112.648300,45.728307,"us/op",65536,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,113.248600,46.409272,"us/op",65536,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,118.300700,59.557794,"us/op",65536,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,116.486500,35.775989,"us/op",65536,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,193.976800,37.314230,"us/op",100000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,205.265400,62.844785,"us/op",100000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,192.104800,26.542361,"us/op",100000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,199.118100,45.906110,"us/op",100000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,225.029400,84.091695,"us/op",100000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,199.978800,48.318876,"us/op",100000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,206.478300,31.490968,"us/op",100000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,217.272800,59.567133,"us/op",100000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,714.743400,54.751755,"us/op",524288,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,718.149200,49.309609,"us/op",524288,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,744.458400,82.962111,"us/op",524288,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,735.445300,49.738723,"us/op",524288,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,717.359600,35.042878,"us/op",524288,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,726.144900,43.980198,"us/op",524288,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,739.551700,115.020723,"us/op",524288,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,719.202800,60.376339,"us/op",524288,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1404.446600,34.089776,"us/op",1000000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1395.333700,66.476190,"us/op",1000000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1404.022700,30.967796,"us/op",1000000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1442.674500,48.898670,"us/op",1000000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1405.724800,50.638066,"us/op",1000000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1425.994900,63.557909,"us/op",1000000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1402.320100,61.035580,"us/op",1000000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1418.399800,49.550639,"us/op",1000000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1419.260100,52.158711,"us/op",1048576,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1379.983400,62.674576,"us/op",1048576,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1418.406500,52.211128,"us/op",1048576,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1426.471600,130.152218,"us/op",1048576,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1413.369600,60.735752,"us/op",1048576,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1385.164400,35.025290,"us/op",1048576,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1386.702800,53.414812,"us/op",1048576,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1400.053800,63.823892,"us/op",1048576,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2792.795900,69.218328,"us/op",2097152,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,3025.521000,449.688710,"us/op",2097152,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2800.097300,129.861290,"us/op",2097152,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2839.690400,125.577789,"us/op",2097152,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2761.415100,93.308157,"us/op",2097152,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2759.369700,65.783351,"us/op",2097152,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2830.657400,131.048635,"us/op",2097152,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,3057.500300,495.784413,"us/op",2097152,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,8.961900,11.191451,"us/op",16,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,4.779800,8.330204,"us/op",16,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.681100,6.588430,"us/op",16,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.305900,7.745418,"us/op",16,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.630100,11.809052,"us/op",16,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.456500,9.402511,"us/op",16,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,1.121900,0.100428,"us/op",16,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,1.516700,1.820360,"us/op",16,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,1.789100,2.164153,"us/op",100,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,1.770000,2.083326,"us/op",100,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.898800,6.194468,"us/op",100,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,6.562200,11.865423,"us/op",100,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.074500,7.603007,"us/op",100,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,3.741100,8.281340,"us/op",100,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,2.082900,3.228552,"us/op",100,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,6.596300,10.483324,"us/op",100,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,9.139600,10.836527,"us/op",1024,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,5.717700,6.873163,"us/op",1024,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,4.563900,1.562075,"us/op",1024,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,9.469900,11.653766,"us/op",1024,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,11.971100,14.582619,"us/op",1024,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,6.067600,7.747908,"us/op",1024,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,10.882000,13.444568,"us/op",1024,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,10.551800,14.406992,"us/op",1024,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,12.513300,13.677967,"us/op",1000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,10.294900,13.966353,"us/op",1000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,6.414300,6.482988,"us/op",1000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,7.408400,11.183146,"us/op",1000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,6.268700,5.626148,"us/op",1000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,8.270000,15.563093,"us/op",1000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putTerribleHashCode","ss",1,10,7.622800,9.552227,"us/op",1000,0.875
